"행정구역별",2025.09,2025.09,2025.09
"행정구역별",계 (명),남 (명),여 (명)
"종로구",137545,66032,71513
"중구",118458,56869,61589
"용산구",202636,96590,106046
"성동구",274195,132518,141677
"광진구",332072,158955,173117
"동대문구",344572,168148,176424
"중랑구",377101,184274,192827
"성북구",423991,202601,221390
"강북구",280068,134794,145274
"도봉구",300820,145194,155626
"노원구",485526,232341,253185
"은평구",457412,216297,241115
"서대문구",301098,142334,158764
"마포구",358744,166572,192172
"양천구",426587,207678,218909
"강서구",550669,263123,287546
"구로구",385222,188346,196876
"금천구",223603,112337,111266
"영등포구",372245,181710,190535
"동작구",373409,180130,193279
"관악구",478809,240880,237929
"서초구",412479,195928,216551
"강남구",556324,265884,290440
"송파구",645729,309190,336539
"강동구",499186,243272,255914
"중구",36729,17791,18938
"서구",102322,49015,53307
"동구",84160,40817,43343
"영도구",102070,50032,52038
"부산진구",365433,174795,190638
"동래구",274078,131987,142091
"남구",251504,122145,129359
"북구",263825,129324,134501
"해운대구",373263,178671,194592
"사하구",287772,142646,145126
"금정구",207438,100877,106561
"강서구",148362,76655,71707
"연제구",211599,100894,110705
"수영구",169749,79480,90269
"사상구",195173,97532,97641
"기장군",174882,86666,88216
"중구",100724,48178,52546
"동구",339912,166063,173849
"서구",162529,80484,82045
"남구",135984,64740,71244
"북구",411210,203440,207770
"수성구",409457,196760,212697
"달서구",519009,254025,264984
"달성군",255197,129311,125886
"군위군",22350,11610,10740
"중구",174663,90402,84261
"동구",56764,28425,28339
"미추홀구",418425,210515,207910
"연수구",407833,201829,206004
"남동구",481212,238730,242482
"부평구",491820,241505,250315
"계양구",277665,138199,139466
"서구",649040,326304,322736
"강화군",69664,34854,34810
"옹진군",19668,11222,8446
"동구",105032,51436,53596
"서구",276083,134970,141113
"남구",207944,99349,108595
"북구",418974,207024,211950
"광산구",389089,196547,192542
"동구",219546,110534,109012
"중구",226046,110812,115234
"서구",463776,227233,236543
"유성구",366516,185739,180777
"대덕구",166344,84442,81902
"중구",204072,103239,100833
"남구",304440,155840,148600
"동구",149681,78221,71460
"북구",215617,112126,103491
"울주군",218824,113520,105304
"세종특별자치시",392230,195235,196995
"수원시",1188644,597209,591435
"성남시",907068,448278,458790
"의정부시",461568,226599,234969
"안양시",563789,278030,285759
"부천시",761265,375202,386063
"광명시",289891,141843,148048
"평택시",605625,317623,288002
"동두천시",86830,43257,43573
"안산시",613914,314459,299455
"고양시",1061192,516463,544729
"과천시",80021,38984,41037
"구리시",186070,92136,93934
"남양주시",730401,361162,369239
"오산시",247325,129027,118298
"시흥시",514331,267989,246342
"군포시",252284,125069,127215
"의왕시",158229,78144,80085
"하남시",327792,162757,165035
"용인시",1092574,541218,551356
"파주시",522654,263511,259143
"이천시",224219,117116,107103
"안성시",196691,101674,95017
"김포시",484512,241732,242780
"화성시",986712,511670,475042
"광주시",397494,202504,194990
"양주시",294789,148257,146532
"포천시",140741,74469,66272
"여주시",114134,58150,55984
"연천군",41027,21425,19602
"가평군",62229,31990,30239
"양평군",127163,63964,63199
"춘천시",285162,140549,144613
"원주시",362881,179711,183170
"강릉시",206942,102537,104405
"동해시",86602,43964,42638
"태백시",37376,18878,18498
"속초시",79960,39526,40434
"삼척시",60932,31078,29854
"홍천군",66341,34208,32133
"횡성군",45765,23599,22166
"영월군",36296,18822,17474
"평창군",39893,20699,19194
"정선군",33266,17365,15901
"철원군",39994,20635,19359
"화천군",22504,12075,10429
"양구군",20466,10740,9726
"인제군",30894,16901,13993
"고성군",26776,13705,13071
"양양군",27346,13974,13372
"충주시",207063,104987,102076
"제천시",128049,64609,63440
"통합청주시",857192,433652,423540
"보은군",30309,15435,14874
"옥천군",48373,24498,23875
"영동군",42819,21580,21239
"진천군",85971,45440,40531
"괴산군",35675,18513,17162
"음성군",92908,49619,43289
"단양군",26943,13756,13187
"증평군",37129,19368,17761
"천안시",663595,340331,323264
"공주시",100449,50078,50371
"보령시",92431,46817,45614
"아산시",358397,186957,171440
"서산시",172903,90599,82304
"논산시",107103,53696,53407
"계룡시",46032,22942,23090
"당진시",172587,92679,79908
"금산군",49096,24967,24129
"부여군",58638,29231,29407
"서천군",47444,23585,23859
"청양군",29078,14883,14195
"홍성군",100154,50116,50038
"예산군",78970,39677,39293
"태안군",59674,30227,29447
"전주시",628663,308311,320352
"군산시",256556,130248,126308
"익산시",267505,133092,134413
"정읍시",100833,50379,50454
"남원시",74715,36712,38003
"김제시",81586,40917,40669
"완주군",100376,51559,48817
"진안군",24205,12385,11820
"무주군",22810,11461,11349
"장수군",20395,10283,10112
"임실군",25297,13077,12220
"순창군",26741,13199,13542
"고창군",50595,25367,25228
"부안군",47439,23770,23669
"목포시",204832,101779,103053
"여수시",264298,134423,129875
"순천시",275071,137384,137687
"나주시",117195,59271,57924
"광양시",155297,81527,73770
"담양군",44195,22342,21853
"곡성군",26597,13276,13321
"구례군",23841,11650,12191
"고흥군",59669,29476,30193
"보성군",36684,18039,18645
"화순군",60384,29933,30451
"장흥군",34210,16835,17375
"강진군",31728,15562,16166
"해남군",62297,31280,31017
"영암군",50264,26444,23820
"무안군",95567,48115,47452
"함평군",29541,15074,14467
"영광군",53191,26643,26548
"장성군",42881,22007,20874
"완도군",44838,22722,22116
"진도군",28136,14079,14057
"신안군",38883,20997,17886
"포항시",489064,248055,241009
"경주시",244215,122253,121962
"김천시",134427,67748,66679
"안동시",153399,75970,77429
"구미시",404157,208872,195285
"영주시",97548,48520,49028
"영천시",95914,49081,46833
"상주시",90400,44710,45690
"문경시",65755,32314,33441
"경산시",265042,133154,131888
"의성군",48001,24054,23947
"청송군",23491,11826,11665
"영양군",15185,7570,7615
"영덕군",32840,15748,17092
"청도군",40198,20056,20142
"고령군",29662,15315,14347
"성주군",40872,21381,19491
"칠곡군",105190,55339,49851
"예천군",54013,26712,27301
"봉화군",28322,14463,13859
"울진군",45925,23425,22500
"울릉군",8821,4982,3839
"통합창원시",992802,502344,490458
"진주시",336964,166546,170418
"통영시",117099,58837,58262
"사천시",108166,54951,53215
"김해시",532894,269479,263415
"밀양시",99477,49312,50165
"거제시",231319,121560,109759
"양산시",360574,180612,179962
"의령군",24671,12357,12314
"함안군",57725,29622,28103
"창녕군",55010,27667,27343
"고성군",47241,23960,23281
"남해군",39296,19166,20130
"하동군",40170,20177,19993
"산청군",32918,16348,16570
"함양군",35553,17359,18194
"거창군",59160,29152,30008
"합천군",39386,19429,19957
"제주시",485634,242001,243633
"서귀포시",179976,90516,89460
